Dataset,Matrix_Name,Rows,Columns,NNZ,Mean_NNZ_Per_Row,Std_Dev_NNZ,Max_NNZ_Per_Row,Empty_Rows,Empty_Rows_Percent,Config_Threads,Config_Threshold,Short_Rows,Short_Rows_Percent,Long_Rows,Long_Rows_Percent,Launch_Blocks,Launch_Short_Blocks,Launch_Long_Blocks,Execution_Time_Seconds,Bandwidth_GB_s,Performance_GFLOPS,Arithmetic_Intensity
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,1024,16,15333,67.1,7502,32.9,250,15,235,0.000015,573.29,92.59,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,1024,32,15614,68.4,7221,31.6,242,16,226,0.000015,584.15,94.34,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,1024,64,19696,86.3,3139,13.7,119,20,99,0.000020,449.20,72.55,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,1024,128,20978,91.9,1857,8.1,80,21,59,0.000029,301.88,48.75,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,1024,256,22835,100.0,0,0.0,23,23,0,0.000051,172.33,27.83,0.162
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,128,16,226089614,100.0,106571,0.0,1792969,1766326,26643,0.225745,24.78,2.13,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,128,32,226151641,100.0,44544,0.0,1777946,1766810,11136,0.225202,24.84,2.13,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,128,64,226172210,100.0,23975,0.0,1772965,1766971,5994,0.225456,24.81,2.13,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,128,128,226184005,100.0,12180,0.0,1770108,1767063,3045,0.226250,24.73,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,128,256,226191872,100.0,4313,0.0,1768203,1767124,1079,0.225350,24.83,2.13,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,256,16,226089614,100.0,106571,0.0,896485,883163,13322,0.226432,24.71,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,256,32,226151641,100.0,44544,0.0,888973,883405,5568,0.225959,24.76,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,256,64,226172210,100.0,23975,0.0,886483,883486,2997,0.226315,24.72,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,256,128,226184005,100.0,12180,0.0,885055,883532,1523,0.225995,24.76,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,256,256,226191872,100.0,4313,0.0,884102,883562,540,0.225981,24.76,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,512,16,226089614,100.0,106571,0.0,448243,441582,6661,0.228382,24.50,2.10,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,512,32,226151641,100.0,44544,0.0,444487,441703,2784,0.227581,24.58,2.11,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,512,64,226172210,100.0,23975,0.0,443242,441743,1499,0.226755,24.67,2.12,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,512,128,226184005,100.0,12180,0.0,442528,441766,762,0.227264,24.62,2.11,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,512,256,226191872,100.0,4313,0.0,442051,441781,270,0.227048,24.64,2.11,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,1024,16,226089614,100.0,106571,0.0,224122,220791,3331,0.228613,24.47,2.10,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,1024,32,226151641,100.0,44544,0.0,222244,220852,1392,0.228946,24.44,2.10,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,1024,64,226172210,100.0,23975,0.0,221622,220872,750,0.228946,24.44,2.10,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,1024,128,226184005,100.0,12180,0.0,221264,220883,381,0.228993,24.43,2.10,0.086
mawi_201512020330,mawi_201512020330,226196185,226196185,240023949,1.06,6474.67,97373173,104829896,46.34,1024,256,226191872,100.0,4313,0.0,221026,220891,135,0.229139,24.42,2.10,0.086
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,128,16,2380515,100.0,0,0.0,18598,18598,0,0.000246,821.51,117.55,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,128,32,2380515,100.0,0,0.0,18598,18598,0,0.000267,754.96,108.03,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,128,64,2380515,100.0,0,0.0,18598,18598,0,0.000268,754.90,108.02,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,128,128,2380515,100.0,0,0.0,18598,18598,0,0.000268,754.62,107.98,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,128,256,2380515,100.0,0,0.0,18598,18598,0,0.000247,817.22,116.94,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,256,16,2380515,100.0,0,0.0,9299,9299,0,0.000268,754.44,107.95,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,256,32,2380515,100.0,0,0.0,9299,9299,0,0.000276,732.37,104.79,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,256,64,2380515,100.0,0,0.0,9299,9299,0,0.000276,731.93,104.73,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,256,128,2380515,100.0,0,0.0,9299,9299,0,0.000271,744.14,106.48,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,256,256,2380515,100.0,0,0.0,9299,9299,0,0.000257,787.08,112.62,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,512,16,2380515,100.0,0,0.0,4650,4650,0,0.000298,678.12,97.03,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,512,32,2380515,100.0,0,0.0,4650,4650,0,0.000319,632.86,90.56,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,512,64,2380515,100.0,0,0.0,4650,4650,0,0.000319,632.90,90.56,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,512,128,2380515,100.0,0,0.0,4650,4650,0,0.000300,673.77,96.41,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,512,256,2380515,100.0,0,0.0,4650,4650,0,0.000284,709.96,101.59,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,1024,16,2380515,100.0,0,0.0,2325,2325,0,0.000321,628.26,89.90,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,1024,32,2380515,100.0,0,0.0,2325,2325,0,0.000342,590.77,84.53,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,1024,64,2380515,100.0,0,0.0,2325,2325,0,0.000342,590.31,84.47,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,1024,128,2380515,100.0,0,0.0,2325,2325,0,0.000342,590.38,84.48,0.143
CurlCurl_4,CurlCurl_4,2380515,2380515,14448191,6.07,2.40,11,0,0.00,1024,256,2380515,100.0,0,0.0,2325,2325,0,0.000335,602.32,86.19,0.143
